FlightNum,CarrierCode,Origin,Destination,ScheduledDeparture,ActualDeparture,ScheduledArrival,ActualArrival,Distance
1418,QF,MIA,SFO,2023-09-15 21:00:00,2023-09-15 22:16:00,2023-09-16 07:00:00,2023-09-16 07:59:00,4356
5483,SQ,BOS,SFO,2023-12-09 04:00:00,2023-12-09 03:42:00,2023-12-09 09:00:00,2023-12-09 08:57:00,1625
5448,BA,SFO,BOS,2023-08-20 01:00:00,2023-08-20 01:02:00,2023-08-20 11:00:00,2023-08-20 12:07:00,3346
6875,UA,DFW,SEA,2023-02-24 05:00:00,2023-02-24 05:47:00,2023-02-24 08:00:00,2023-02-24 08:51:00,4716
6255,SW,DFW,LAX,2023-05-15 23:00:00,2023-05-16 00:05:00,2023-05-16 07:00:00,2023-05-16 06:42:00,3945
4826,LH,JFK,DFW,2023-02-04 23:00:00,2023-02-04 23:03:00,2023-02-05 04:00:00,2023-02-05 04:14:00,3073
8116,AF,ORD,MIA,2023-06-10 14:00:00,2023-06-10 15:10:00,2023-06-11 01:00:00,2023-06-11 01:32:00,2789
7618,QF,ATL,SFO,2023-05-02 21:00:00,2023-05-02 21:22:00,2023-05-03 10:00:00,2023-05-03 10:01:00,1346
7574,AF,MIA,SEA,2023-08-07 17:00:00,2023-08-07 17:16:00,2023-08-08 01:00:00,2023-08-08 01:48:00,2659
3916,SQ,SFO,SEA,2023-04-28 07:00:00,2023-04-28 06:31:00,2023-04-28 09:00:00,2023-04-28 10:30:00,1673
9148,BA,SFO,DEN,2023-08-28 20:00:00,2023-08-28 19:54:00,2023-08-29 09:00:00,2023-08-29 08:53:00,2810
3847,LH,SFO,DFW,2023-08-09 13:00:00,2023-08-09 14:44:00,2023-08-09 18:00:00,2023-08-09 19:21:00,2093
5515,BA,ATL,JFK,2023-11-16 08:00:00,2023-11-16 09:28:00,2023-11-16 15:00:00,2023-11-16 15:15:00,1655
7240,AA,DEN,DFW,2023-08-07 19:00:00,2023-08-07 20:24:00,2023-08-08 09:00:00,2023-08-08 09:41:00,1870
9812,SW,ATL,SEA,2023-02-07 06:00:00,2023-02-07 06:08:00,2023-02-07 11:00:00,2023-02-07 12:37:00,2728
9952,UA,BOS,MIA,2023-06-27 18:00:00,2023-06-27 18:27:00,2023-06-28 01:00:00,2023-06-28 01:16:00,953
2313,AF,DFW,DEN,2023-05-15 13:00:00,2023-05-15 13:37:00,2023-05-15 16:00:00,2023-05-15 17:34:00,1508
9236,SQ,BOS,MIA,2023-03-31 04:00:00,2023-03-31 04:36:00,2023-03-31 10:00:00,2023-03-31 09:44:00,2726
2876,QF,SEA,MIA,2023-03-09 09:00:00,2023-03-09 10:23:00,2023-03-09 15:00:00,2023-03-09 14:54:00,3151
4916,BA,SEA,ATL,2023-03-07 15:00:00,2023-03-07 16:33:00,2023-03-07 21:00:00,2023-03-07 22:03:00,3825
9164,LH,SEA,MIA,2023-05-28 12:00:00,2023-05-28 12:15:00,2023-05-28 15:00:00,2023-05-28 16:21:00,3436
6965,AF,LAX,SFO,2023-02-28 14:00:00,2023-02-28 14:23:00,2023-02-28 22:00:00,2023-02-28 21:35:00,845
6449,AF,SEA,BOS,2023-11-27 06:00:00,2023-11-27 05:54:00,2023-11-27 18:00:00,2023-11-27 18:26:00,3267
2387,BA,SEA,SFO,2023-10-08 20:00:00,2023-10-08 20:11:00,2023-10-08 23:00:00,2023-10-08 22:37:00,3651
5329,EK,ATL,JFK,2023-05-14 21:00:00,2023-05-14 22:08:00,2023-05-15 06:00:00,2023-05-15 07:31:00,4841
4698,QF,ATL,DEN,2023-06-28 02:00:00,2023-06-28 01:42:00,2023-06-28 09:00:00,2023-06-28 09:26:00,998
6141,AF,SEA,JFK,2023-11-27 07:00:00,2023-11-27 06:55:00,2023-11-27 11:00:00,2023-11-27 10:37:00,3011
4979,BA,BOS,DEN,2023-08-07 11:00:00,2023-08-07 10:54:00,2023-08-07 13:00:00,2023-08-07 12:31:00,3888
1389,AA,JFK,SEA,2023-04-17 14:00:00,2023-04-17 15:41:00,2023-04-17 19:00:00,2023-04-17 20:56:00,4255
4351,SQ,BOS,ORD,2023-12-13 00:00:00,2023-12-13 01:08:00,2023-12-13 14:00:00,2023-12-13 15:00:00,3131
6240,UA,DEN,DFW,2023-06-15 02:00:00,2023-06-15 02:58:00,2023-06-15 11:00:00,2023-06-15 12:36:00,2325
9301,UA,ORD,LAX,2023-01-13 13:00:00,2023-01-13 13:22:00,2023-01-13 21:00:00,2023-01-13 22:33:00,4914
1589,SW,ATL,DEN,2023-09-19 01:00:00,2023-09-19 00:33:00,2023-09-19 13:00:00,2023-09-19 12:53:00,2055
6243,AA,DEN,DFW,2023-02-19 08:00:00,2023-02-19 08:29:00,2023-02-19 10:00:00,2023-02-19 10:36:00,4445
7273,QF,BOS,ATL,2023-05-15 13:00:00,2023-05-15 13:12:00,2023-05-15 18:00:00,2023-05-15 17:57:00,1661
3671,DL,LAX,DEN,2023-11-02 21:00:00,2023-11-02 21:17:00,2023-11-02 23:00:00,2023-11-03 00:30:00,1840
